image_idx,image_path,prompt,part,phrases,mask_path,overlay_path,mask_coverage,mask_max
0,viescore/extracted_images/2.png,"make a cropped blouse, add huge bow to the neckline that is closed at the right side, it is closed up the narrow to the neck, keep the long sleeves",sleeves,"sleeves, long sleeves, short sleeves, sleeve",clipseg_results/mask_000_sleeves.png,clipseg_results/overlay_000_sleeves.png,0.11035937070846558,0.9998836517333984
0,viescore/extracted_images/2.png,"make a cropped blouse, add huge bow to the neckline that is closed at the right side, it is closed up the narrow to the neck, keep the long sleeves",collar,"collar, neckline, neck",clipseg_results/mask_000_collar.png,clipseg_results/overlay_000_collar.png,0.15021885931491852,0.9996097683906555
0,viescore/extracted_images/2.png,"make a cropped blouse, add huge bow to the neckline that is closed at the right side, it is closed up the narrow to the neck, keep the long sleeves",top,"top, blouse, shirt",clipseg_results/mask_000_top.png,clipseg_results/overlay_000_top.png,0.2316468209028244,0.9995241761207581
0,viescore/extracted_images/2.png,"make a cropped blouse, add huge bow to the neckline that is closed at the right side, it is closed up the narrow to the neck, keep the long sleeves",bow,"bow, ribbon",clipseg_results/mask_000_bow.png,clipseg_results/overlay_000_bow.png,0.12231923639774323,0.9979895353317261
1,viescore/extracted_images/3.png,"make it a cropped blouse, keep long sleeves, add a peplum like frill to the narrow neck line",sleeves,"sleeves, long sleeves, short sleeves, sleeve",clipseg_results/mask_001_sleeves.png,clipseg_results/overlay_001_sleeves.png,0.11035937070846558,0.9998836517333984
1,viescore/extracted_images/3.png,"make it a cropped blouse, keep long sleeves, add a peplum like frill to the narrow neck line",collar,"collar, neckline, neck",clipseg_results/mask_001_collar.png,clipseg_results/overlay_001_collar.png,0.15021885931491852,0.9996097683906555
1,viescore/extracted_images/3.png,"make it a cropped blouse, keep long sleeves, add a peplum like frill to the narrow neck line",top,"top, blouse, shirt",clipseg_results/mask_001_top.png,clipseg_results/overlay_001_top.png,0.2316468209028244,0.9995241761207581
1,viescore/extracted_images/3.png,"make it a cropped blouse, keep long sleeves, add a peplum like frill to the narrow neck line",frill,"frill, ruffle, peplum",clipseg_results/mask_001_frill.png,clipseg_results/overlay_001_frill.png,0.2215452790260315,0.9995243549346924
2,viescore/extracted_images/4.png,"remove sleeves, add peplum",sleeves,"sleeves, long sleeves, short sleeves, sleeve",clipseg_results/mask_002_sleeves.png,clipseg_results/overlay_002_sleeves.png,0.05718931555747986,0.9989462494850159
2,viescore/extracted_images/4.png,"remove sleeves, add peplum",frill,"frill, ruffle, peplum",clipseg_results/mask_002_frill.png,clipseg_results/overlay_002_frill.png,0.24958740174770355,0.9995573163032532
3,viescore/extracted_images/5.png,"remove sleeves, add frill to the hem in same fabric",sleeves,"sleeves, long sleeves, short sleeves, sleeve",clipseg_results/mask_003_sleeves.png,clipseg_results/overlay_003_sleeves.png,0.05718931555747986,0.9989462494850159
3,viescore/extracted_images/5.png,"remove sleeves, add frill to the hem in same fabric",frill,"frill, ruffle, peplum",clipseg_results/mask_003_frill.png,clipseg_results/overlay_003_frill.png,0.24958740174770355,0.9995573163032532
4,viescore/extracted_images/6.png,"divide into two pieces: a cropped top without sleves and a long wide skirt with slit at center front that is belted at the waist, keep the silhouette of the initial coat",waist,"waist, waistline",clipseg_results/mask_004_waist.png,clipseg_results/overlay_004_waist.png,0.17366288602352142,0.9998013377189636
4,viescore/extracted_images/6.png,"divide into two pieces: a cropped top without sleves and a long wide skirt with slit at center front that is belted at the waist, keep the silhouette of the initial coat",belt,"belt, belted",clipseg_results/mask_004_belt.png,clipseg_results/overlay_004_belt.png,0.023376086726784706,0.9988726377487183
