sample_idx,original_path,edited_path,prompt,diff_path,mask_strict_path,mask_medium_path,mask_loose_path,coverage_strict,coverage_medium,coverage_loose,diff_mean,diff_std,diff_max
0,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/images/7d5c16f425ee40ef94201d53b4119667.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/control_images/7d5c16f425ee40ef94201d53b4119667.png,Replace the neon piping with a contrasting color like deep purple to add a pop of color.,training_diff_analysis/sample_0000_diff.png,training_diff_analysis/sample_0000_mask_strict.png,training_diff_analysis/sample_0000_mask_medium.png,training_diff_analysis/sample_0000_mask_loose.png,8.113574981689453,21.72718048095703,29.676532745361328,10.91176986694336,19.20048370201581,255.0
1,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/images/b9cff1809a29407ebda9a4785cdf5e71.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/control_images/b9cff1809a29407ebda9a4785cdf5e71.png,Remove the sequins from one side of the top to create an asymmetrical design.,training_diff_analysis/sample_0001_diff.png,training_diff_analysis/sample_0001_mask_strict.png,training_diff_analysis/sample_0001_mask_medium.png,training_diff_analysis/sample_0001_mask_loose.png,29.866600036621094,43.77880096435547,47.51739501953125,19.009075164794922,25.65816754814134,255.0
2,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/images/d639ee3c8e434bdf9dcbc1a63c3b839f.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/control_images/d639ee3c8e434bdf9dcbc1a63c3b839f.png,Replace the luminescent patches with reflective strips that glow under UV light.,training_diff_analysis/sample_0002_diff.png,training_diff_analysis/sample_0002_mask_strict.png,training_diff_analysis/sample_0002_mask_medium.png,training_diff_analysis/sample_0002_mask_loose.png,2.64892578125,8.421707153320312,88.97829055786133,23.26274585723877,16.266264717695677,255.0
3,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/images/fa3b58dc569c454a899f07d0294a80b4.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/control_images/fa3b58dc569c454a899f07d0294a80b4.png,Crop the dress at mid-thigh length and add a belt at the natural waistline.,training_diff_analysis/sample_0003_diff.png,training_diff_analysis/sample_0003_mask_strict.png,training_diff_analysis/sample_0003_mask_medium.png,training_diff_analysis/sample_0003_mask_loose.png,25.766277313232422,30.556774139404297,31.83450698852539,18.27745532989502,27.339917876150764,255.0
4,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/images/68d906b0857f47fca78d2f67e24a1bdf.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/control_images/68d906b0857f47fca78d2f67e24a1bdf.png,Add a detachable belt at the waist to create an accentuated fit.,training_diff_analysis/sample_0004_diff.png,training_diff_analysis/sample_0004_mask_strict.png,training_diff_analysis/sample_0004_mask_medium.png,training_diff_analysis/sample_0004_mask_loose.png,5.1544189453125,13.300418853759766,37.65115737915039,9.53059196472168,18.429455742723437,255.0
5,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/images/37151e85d3cc49d5b4f89a0dc98c07c9.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/control_images/37151e85d3cc49d5b4f89a0dc98c07c9.png,Replace the patchwork sections with recycled leather patches for a rugged texture contrast.,training_diff_analysis/sample_0005_diff.png,training_diff_analysis/sample_0005_mask_strict.png,training_diff_analysis/sample_0005_mask_medium.png,training_diff_analysis/sample_0005_mask_loose.png,13.285064697265625,24.32117462158203,42.984580993652344,18.58519172668457,19.244007907564043,255.0
6,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/images/511a6b2e3c4c4029aef2ed8f54b9b8bb.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/control_images/511a6b2e3c4c4029aef2ed8f54b9b8bb.png,Cut off the bottom hem to create a cropped t-shirt with raw edges and add a small patch pocket on the left side.,training_diff_analysis/sample_0006_diff.png,training_diff_analysis/sample_0006_mask_strict.png,training_diff_analysis/sample_0006_mask_medium.png,training_diff_analysis/sample_0006_mask_loose.png,19.708538055419922,38.401126861572266,40.876102447509766,19.2248477935791,23.22754367403635,255.0
7,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/images/2166300654c842de824c814fa0faf09d.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/control_images/2166300654c842de824c814fa0faf09d.png,Add lace trim along the neckline and hem for an elegant touch.,training_diff_analysis/sample_0007_diff.png,training_diff_analysis/sample_0007_mask_strict.png,training_diff_analysis/sample_0007_mask_medium.png,training_diff_analysis/sample_0007_mask_loose.png,14.800739288330078,26.604652404785156,36.25621795654297,14.473520278930664,21.668874361284043,255.0
8,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/images/68f9fefa8c104504b4be9f8947aca346.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/control_images/68f9fefa8c104504b4be9f8947aca346.png,Change the exaggerated shoulders to natural shoulder seams and remove gold accents in favor of silver-toned buttons for a more modern look.,training_diff_analysis/sample_0008_diff.png,training_diff_analysis/sample_0008_mask_strict.png,training_diff_analysis/sample_0008_mask_medium.png,training_diff_analysis/sample_0008_mask_loose.png,7.576084136962891,11.500263214111328,48.76089096069336,18.632518768310547,26.364475405260308,255.0
9,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/images/fd8ad5832e0f4398894dd5c680022d96.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/data/example_image_dataset/control_images/fd8ad5832e0f4398894dd5c680022d96.png,Replace the lapel stones with delicate lace trim.,training_diff_analysis/sample_0009_diff.png,training_diff_analysis/sample_0009_mask_strict.png,training_diff_analysis/sample_0009_mask_medium.png,training_diff_analysis/sample_0009_mask_loose.png,6.505775451660156,8.27178955078125,10.803508758544922,7.767601013183594,19.98888043176492,255.0
